"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
,"Daemonblade","Two-Handed","5+StrB","--","--",2,"1,000,000","Exotic","*","Each time the wielder of a Tainted Weapon spends or burns a Fate Point in relation to using the weapon, they gain 2 Corruption Points. Additionally, Tainted Weapons gain bonus damage equal to the wielder’s Corruption up to their Willpower Bonus (WilB). The greatest symbol of the Radical Inquisitor’s philosophy, to use the enemy against the enemy, a Daemonblade is a weapon bound with the essence of a powerful daemonic entity. Though the wardings and bindings placed upon the weapon render it less potent than the weapons wielded by Chaos, they are necessary, lest the wielder be driven insane from the insidious voices within the blade. No Daemonblade is like another, some so specific and potent that they have forged dark reputations. Daemonblades are weapons wielded by Radical Inquisitors, commonly of the Ordo Malleus. When a Daemonblade is first encountered, the GM should roll, or choose from, both the Features and the Quirks columns below (IPG 81) to describe the powers and nature of the weapon. Once per encounter, when a Daemonblade is drawn, the wielder must make a Challenging (+0) Discipline Test. If they fail, they gain 2 Corruption Points.","IPG 81"
,"Tainted Blade","One-Handed","4+StrB","--","--",1,"1,000,000","Exotic","Rend (44)","Each time the wielder of a Tainted Weapon spends or burns a Fate Point in relation to using the weapon, they gain 2 Corruption Points. Additionally, Tainted Weapons gain bonus damage equal to the wielder’s Corruption up to their Willpower Bonus (WilB). Controversial weapons, tainted by warp-magic or daemonic essence. They might be weapons once bound with a daemonic entity, now purged, or marked with runes of Chaos. Though less potent than true Daemonblades, Tainted Blades are stained and seething with warp energies, each strike wreaking havoc upon realspace as much as the wielder’s foes. The Tainted Blade is a Tainted Weapon, used by Radicals and heretics of the Ordo Malleus.","IPG 81"
,"Psycannon","Ordnance",12,"Long",6,3,"240,000 (27,000)","Exotic","Loud, Penetrating (5), Rapid Fire (3), Spread, Two-handed","A Psycannon is a Bolt Weapon designed to cut through psykers, daemons, and other warp entities. In addition to the normal bonuses provided by its Psybolt ammunition, ranged attacks made with this weapon ignore any armour provided by psychic powers, daemonic Traits, or other effects. The benefits of the weapon’s gravitic stabiliser are already included in its profile — it would otherwise suffer from the Heavy Trait. A Psycannon can be loaded with ordinary Heavy Bolter ammunition (900 Solars) but many would see such an act as sacrilege and misuse of such a precious weapon.","IPG 86"
,"Condemnor Boltgun","Long Guns",8,"Long",4,2,"100,000 (10,000)","Exotic","Loud, Penetrating (4), Rapid Fire (2), Spread, Two-Handed","While the Boltgun element easily tears common foes asunder, the potent stakes fired from the crossbow armature vary in effects. However, they all effectively thwart the foul warp magics and energies of psykers and daemons. The Condemnor Boltgun is an iconic weapon of the Ordo Hereticus. It has two firing profiles, as noted in the Ranged Weapons Table. The Stake Crossbow attached can be fitted with specialised Stake ammunition (page 88) and gains additional effects from them.","IPG 86"
,"Condemnor Boltgun (Stake)","Long Guns",6,"Long",1,0,"100,000 (10,000)","Exotic","Penetrating (4), Two-handed","While the Boltgun element easily tears common foes asunder, the potent stakes fired from the crossbow armature vary in effects. However, they all effectively thwart the foul warp magics and energies of psykers and daemons. The Condemnor Boltgun is an iconic weapon of the Ordo Hereticus. It has two firing profiles, as noted in the Ranged Weapons Table. The Stake Crossbow attached can be fitted with specialised Stake ammunition (page 88) and gains additional effects from them.","IPG 86"
,"Handbow","Pistols",5,"Short",1,0,"500 (50)","Rare","Close, Penetrating (2), Subtle","The Handbow is a favoured weapon of the Ordo Hereticus. Because of its compact design, it can be easily concealed. Though it may lack the stopping power of larger Crossbow weapons, it can still be fitted with specialised stake ammunition (page 88).","IPG 86"
,"Purgatus Crossbow","Long Guns",7,"Long",1,1,"1,900 (190)","Exotic","Penetrating (4), Reliable","The Purgatus Crossbow, like many crossbows, are favoured and iconic weapons among Ordo Hereticus acolytes. While the basic bolts of the Crossbow are significant enough to kill most heretics, they can also be fitted with specialised stake ammunition (page 88).","IPG 86"
,"Stake Crossbow","Long Guns",6,"Long",1,1,"700 (70)","Rare","Penetrating (2)","It is a favoured weapon of the witch-hunting Ordo Hereticus. Like the Purgatus Crossbow, it can be fitted with specialised stake ammunition (page 88).","IPG 86"
,"Incinerator","Long Guns",9,"Medium",4,2,"4,000 (200)","Rare","Flamer, Inflict (Ablaze), Loud, Two-handed","The Incinerator has modified fire projectors, and sanctified fuel containment vessels, to fire psyflame — psychically impregnated promethium that burns azure and purges away psychic protections and daemonic foes. The Incinerator adds the wielder’s Willpower Bonus (WilB) to the Damage when attacking a daemon or creature with a Warp Threshold.","IPG 86"
,"Graviton Pistol","Pistols",4,"Short",3,0,"1,000 (200)","Exotic","Spread, Close","Graviton weapons deal additional Damage to a creature equal to their Armour. Any creature that takes damage from a Graviton weapon must make a Challenging (+0) Endurance Test or be rendered Prone. Targets wearing armour have −1 SL to this test, and armour with the Heavy Trait grants −2 SL instead.","IPG 86"
,"Graviton Gun","Long Guns",5,"Long",5,1,"1,500 (300)","Exotic","Spread","Graviton weapons deal additional Damage to a creature equal to their Armour. Any creature that takes damage from a Graviton weapon must make a Challenging (+0) Endurance Test or be rendered Prone. Targets wearing armour have −1 SL to this test, and armour with the Heavy Trait grants −2 SL instead.","IPG 86"
,"Kroot Gun","Ordnance",8,"Long",8,3,"15,000 (1,000)","Exotic","Heavy (4), Loud, Penetrating (2), Rapid Fire (4), Two-handed",,"IPG 86"
,"Kroot Pistol","Pistols",6,"Short",6,0,"8,000 (400)","Exotic","Close, Loud, Penetrating (2)",,"IPG 86"
,"Kroot Rifle","Long Guns",7,"Long",4,1,"10,000 (500)","Exotic","Loud, Heavy (4), Penetrating (2), Rapid Fire (2), Two-handed","Kroot continue to affix blades to the muzzle and the stock of the Kroot Rifle, making it a surprisingly effective melee weapon. When used as a Melee Weapon, it counts as a Mundane Sword (2 + StrB Damage) using the Two-handed specialisation, with Two-Handed and Defensive Traits.","IPG 86"
,"Kroot Sniper Rifle","Long Guns",8,"Extreme",6,2,"12,000 (800)","Exotic","Loud, Penetrating (2), Two-handed",,"IPG 86"
,"Hell Rifle","Long Guns",10,"Extreme",6,2,"10,000 (1,000)","Exotic","Loud, Rend (4), Two-handed","Despite the antique and ornate appearance of the rifle, it is a complex and tainted weapon, utilising warded arrays and galvanic impellers to fire rending shards of daemonic matter. The weapon is one of concern for puritanical elements of the Inquisition, and there are those among the Adeptus Mechanicus who are eager to recover one to determine how exactly they work. The Hellrifle is a weapon favoured by Radical Inquisitors of the Ordo Malleus.","IPG 87"
,"Pulse Pistol","Pistols",6,"Medium",6,0,"8,000 (800)","Exotic","Close, Loud, Penetrating (6), Subtle","Most pulse weapons come with gyroscopic aim-stabilisation systems that cause the rifle to remain steady when firing such long distances.","IPG 87"
,"Pulse Carbine","Long Guns",7,"Long",4,1,"10,000 (1,000)","Exotic","Close, Loud, Burst, Penetrating (6)","Most pulse weapons come with gyroscopic aim-stabilisation systems that cause the rifle to remain steady when firing such long distances.","IPG 87"
,"Pulse Rifle","Long Guns",7,"Extreme",8,1,"12,000 (1,000)","Exotic","Penetrating (6), Rapid Fire (2), Two-handed","Most pulse weapons come with gyroscopic aim-stabilisation systems that cause the rifle to remain steady when firing such long distances.","IPG 87"
,"Shuriken Pistol","Pistols",6,"Medium",4,0,"8,000 (800)","Exotic","Burst, Close, Penetrating (4), Reliable","When attacking, Shuriken weapons gain +1 SL.","IPG 87"
,"Shuriken Rifle","Long Guns",8,"Long",6,1,"12,000 (1,200)","Exotic","Penetrating (4), Rapid Fire (3), Reliable, Two-handed","When attacking, Shuriken weapons gain +1 SL.","IPG 87"
,"Arbites Shotgun","Long Guns",8,"Long",8,1,"1,000 (50)","Rare","Inflict (Prone), Loud, Reliable, Spread, Two-handed","The Arbites Shotgun can use any Solid Projectile or Shotgun ammunition.","IPG 87"
,"Shotpistol","Pistols",7,"Medium",4,0,"800 (40)","Rare","Close, Inflict (Prone), Loud, Reliable, Spread","The Shotpistol can use any Solid Projectile or Shotgun ammunition.","IPG 87"
,"Digital Weapons","Pistols","*","Short",1,0,"50,000 (5,000)","Exotic","Close, Subtle","A Digital Weapon can assume the function of a Laspistol, Inferno Pistol, or Needle Pistol. The Digital Weapon uses the Damage and any other Trait from the pistol it is modelled after, but its Mag becomes 1, and it gains the Subtle trait. Digital Weapons do not reload and instead recharge after an hour.","IPG 87"
,"Neuro Disruptor","Pistols",8,"Short",3,2,"25,000 (2,500)","Exotic","Close, Inflict (Stunned), Penetrating (6)","The weapon appears to be a pointed mass of crystals emerging from a brass housing, lacking any obvious power source, or internal mechanisms. Rather, the weapon appears to use intricate circuitry and lattices to project a wave of particles to disrupt a target’s neural function, with little impingement from armour. Such weapons are exceedingly rare, and might only be found in the arsenal of Ordo Xenos Inquisitors.","IPG 87"
,"Splinter Pistol","Pistols",5,"Short",4,0,"10,000 (1,000)","Exotic","Burst, Close, Inflict (Poisoned), Penetrating (2)","Some Splinter Weapons come with monomolecular blades affixed, whether to aid in close-quarters boarding actions or sadistic melee combat. These Splinter Rifles and Splinter Pistols count as having the Melee Attachment weapon modification (Imperium Maledictum, page 138), which are further improved with the Mono Edge weapon modification (Imperium Maledictum, page 138). Increase the listed price of these weapons by 300 Solars.","IPG 87"
,"Splinter Rifle","Long Guns",6,"Long",6,1,"15,000 (1,500)","Exotic","Inflict (Poisoned), Penetrating (2), Rapid Fire (3), Two-handed","Some Splinter Weapons come with monomolecular blades affixed, whether to aid in close-quarters boarding actions or sadistic melee combat. These Splinter Rifles and Splinter Pistols count as having the Melee Attachment weapon modification (Imperium Maledictum, page 138), which are further improved with the Mono Edge weapon modification (Imperium Maledictum, page 138). Increase the listed price of these weapons by 300 Solars.","IPG 87"
,"Empyrean Brain Mine","Engineering","--","--","--",1,1,"Exotic","Loud, Inflict (Stunned), Unstable","A character armed with an Empyrean Brain Mine can attempt to plant it, waiting for an enemy to enter a Zone where it automatically triggers. The Brain Mine attempts to latch onto the triggering creature, who can make a Difficult (−10) Reflex (Dodge) Test to avoid it. On a fail, the Mine latches onto the target, and they are Stunned for 1d5 Rounds. Alternatively, a character can attempt to Grapple a foe and attach the Brain Mine to them. Once Restrained through the Grapple, the target must make a Difficult (−10) Reflex (Dodge) Test to avoid it. On a fail, the Mine latches onto the target, and they are Stunned for 1d5 rounds.","IPG 91"
,"Hallucinogen Grenade","Thrown, Ordnance","--","--","--",0,200,"Exotic","Blast, Loud, Unstable","Hallucinogen Grenades fill the target Zone with hallucinogenic gas for three rounds. A creature starting their turn in the Zone, or who enters the Zone during their turn, must make a Difficult (−10) Fortitude (Poison) Test or suffer the hallucinogenic effect of the grenade for 1d10 rounds (roll on the Hallucinogenic Effects Table). Characters in Power Armour, other sealed armour, or wearing Filtration Plugs or similar equipment can apply their benefits to the Test.","IPG 91"
,"Psychotroke Grenade","Thrown, Ordnance","--","--","--",0,300,"Exotic","Blast, Loud, Unstable","Psychotroke Grenades fill the target Zone with hallucinogenic gas for five rounds. A creature starting their turn in the Zone, or who enters the Zone during their turn, must make a Very Hard (−30) Fortitude (Endurance) Test or suffer the hallucinogenic effect of the grenade for 1d10 rounds (roll on the Hallucinogenic Effects Table). Characters in Power Armour, other sealed armour, or wearing Filtration Plugs or similar equipment can apply their benefits to the Test.","IPG 91"
,"Psyk-out Grenade","Thrown, Ordnance","--","--","--",0,400,"Exotic","Blast, Inflict (Stunned), Loud, Unstable","All creatures with a Warp Threshold in the Zone must make a Difficult (−10) Psychic Mastery Test. If they fail they are Stunned. Furthermore, any creature with a Warp Threshold in the Zone has their Warp Threshold reduced by 2. Some creatures might not be perceptive, or disciplined, enough to notice the danger, such as rogue psykers. The effects of the grenade linger for 3 rounds.","IPG 91"
,"Rad Grenade","Thrown, Ordnance","--","--","--",0,400,"Exotic","Blast, Inflict (Fatigued), Loud, Unstable","When detonated, all creatures in the target Zone must make a Difficult (−10) Fortitude (Endurance) Test. If they fail, they immediately take 5 points of Damage (treated as if they entered a Minor Hazard) and gain the Fatigued (Minor) Condition.","IPG 91"
"Shuriken Pistol 'Moxy Pattern'","Shuriken Pistol 'Moxy Pattern'","Pistols",6,"Medium",2,1,"4,000 (200)","Exotic","Aeldari, Burst, Close, Loud, Penetrating (4)",,"E-AA 2"
"Shuriken Catapault","Shuriken Catapault","Long Guns",6,"Long",6,2,"6,000 (300)","Exotic","Aeldari, Loud, Penetrating (4), Rapid Fire (2), Two-Handed",,"E-AA 2"
"Avenger Shuriken Catapult","Avenger Shuriken Catapult","Long Guns",6,"Long",6,2,"8,000 (400)","Exotic","Aeldari, Loud, Penetrating (4), Rapid Fire (3), Two-Handed",,"E-AA 2"
"Shuriken Cannon","Shuriken Cannon","Ordnance",8,"Extreme",8,3,"10,000 (500)","Exotic","Aeldari, Loud, Penetrating (4), Rapid Fire (4), Two-Handed",,"E-AA 2"
"Shrieker Cannon","Shrieker Cannon","Ordnance",8,"Extreme",8,3,"500,000 (10,000)","Exotic","Aeldari, Loud, Inflict (Poisoned), Penetrating (4), Rapid Fire (4), Two-Handed",,"E-AA 2"
"Bright Lance","Bright Lance","Ordnance",20,"Extreme",6,4,"20,000 (1,000)","Exotic","Aeldari, Loud, Penetrating (10), Two-Handed",,"E-AA 2"
"Hawk's Talon","Hawk's Talon","Long Guns",8,"Long",6,2,"15,000 (750)","Exotic","Aeldari, Loud, Rapid Fire (3), Two-Handed",,"E-AA 2"
"Lasblaster","Lasblaster","Long Guns",6,"Long",6,2,"9,000 (450)","Exotic","Aeldari, Loud, Rapid Fire (3), Two-Handed",,"E-AA 3"
"Laser Lance","Laser Lance","Ordnance",10,"Medium",4,3,"12,000 (600)","Exotic","Aeldari, Loud, Penetrating (4)",,"E-AA 3"
"Ranger Long Rifle 'Moxy Pattern'","Ranger Long Rifle 'Moxy Pattern'","Long Guns",9,"Extreme",18,3,"8,000 (400)","Exotic","Aeldari, Penetrating (2), Two-Handed",,"E-AA 3"
"Star Lance","Star Lance","Ordnance",12,"Medium",4,3,"18,000 (900)","Exotic","Aeldari, Loud, Penetrating (4)",,"E-AA 3"
"Sunrifle","Sunrifle","Ordnance",10,"Medium",3,3,"20,000 (1,000)","Exotic","Aeldari, Loud, Rapid Fire (4), Two-Handed",,"E-AA 3"
"Firepike","Firepike","Ordnance",18,"Long",8,3,"20,000 (500)","Exotic","Aeldari, Loud, Penetrating (4), Rend (8), Two-Handed",,"E-AA 3"
"Fusion Gun","Fusion Gun","Long Guns",16,"Medium",5,2,"17,00 (350)","Exotic","Aeldari, Loud, Penetrating (2), Rend (5), Two-Handed",,"E-AA 3"
"Fusion Pistol","Fusion Pistol","Pistols",16,"Short",3,1,"14,500 (450)","Exotic","Aeldari, Close, Loud, Penetrating (2), Rend (5)",,"E-AA 3"
"Eldar Flamer","Eldar Flamer","Long Guns",8,"Medium",4,2,"2,000 (20)","Exotic","Aeldari, Flamer, Inflict (Ablaze), Loud, Two-Handed",,"E-AA 3"
"Dragon's Breath Flamer","Dragon's Breath Flamer","Long Guns",10,"Medium",4,2,"10,000 (500)","Exotic","Aeldari, Flamer, Inflict (Ablaze), Loud, Two-Handed",,"E-AA 3"
"Eldar Missile Launcher","Eldar Missile Launcher","Ordnance","--","Extreme",1,1,10,"Exotic","Aeldari, Heavy (4), Loud, Two-Handed",,"E-AA 3"
"Reaper Launcher","Reaper Launcher","Ordnance","--","Extreme",1,2,20,"Exotic","Aeldari, Heavy (4), Loud, Two-Handed",,"E-AA 3"
"Tempest Launcher","Tempest Launcher","Ordnance","--","Extreme",2,2,30,"Exotic","Aeldari, Heavy (4), Loud, Two-Handed",,"E-AA 3"
"Death Spinner","Death Spinner","Ordnance",12,"Long",6,3,"20,000 (1,000)","Exotic","Aeldari, Loud, Penetrating (6), Rapid Fire (3), Spread, Two-Handed",,"E-AA 3"
"Spinneret Rifle","Spinneret Rifle","Ordnance",16,"Long",6,3,"30,000 (1,500)","Exotic","Aeldari, Loud, Penetrating (8), Two-Handed",,"E-AA 3"
"Biting Blade","Biting Blade","Two-Handed","5+StrB","--","--",3,5,"Exotic","Aeldari, Heavy (4), Loud, Rend (4), Two-Handed",,"E-AA 5"
"Chainsaber","Chainsaber","One-Handed","3+StrB","--","--",1,5,"Exotic","Aeldari, Loud, Rend (4)",,"E-AA 5"
"Eldar Chainsword","Eldar Chainsword","One-Handed","3+StrB","--","--",1,1,"Exotic","Aeldari, Loud, Rend (2)",,"E-AA 5"
"Scorpion Chainsword","Scorpion Chainsword","One-Handed","4+StrB","--","--",1,4,"Exotic","Aeldari, Loud, Rend (3)",,"E-AA 5"
"Eldar Power Sword","Eldar Power Sword","One-Handed","4+StrB","--","--",1,4,"Exotic","Aeldari or Drukhari, Penetrating (5)",,"E-AA 5"
"Diresword","Diresword","One-Handed","5+StrB","--","--",1,5,"Exotic","Aeldari, Penetrating (5)",,"E-AA 5"
"Executioner","Executioner","Two-Handed","4+StrB","--","--",2,6,"Exotic","Aeldari, Heavy (4), Penetrating (5), Two-Handed",,"E-AA 5"
"Mirrorsword","Mirrorsword","One-Handed","4+StrB","--","--",1,4,"Exotic","Aeldari, Penetrating (5)",,"E-AA 5"
"Scorpion's Claw","Scorpion's Claw","Brawling","6+StrB","--","--",2,5,"Exotic","Aeldari, Heavy (4), Penetrating (6)",,"E-AA 5"
"Star Glaive","Star Glaive","Two-Handed","6+StrB","--","--",2,10,"Exotic","Aeldari, Heavy (4), Penetrating (6), Reach",,"E-AA 5"
"Triskele","Triskele","One-Handed","3+StrB","--","--",1,6,"Exotic","Aeldari, Penetrating (3), Subtle, Thrown (Short)",,"E-AA 5"
"Singing Spear","Singing Spear","Two-Handed","4+StrB","--","--",2,500,"Exotic","Aeldari, Reach, Thrown (Medium), Two-Handed","The Singing Spear takes the form of a silver spear chased with mysterious metals and covered with sparkling gems. Its name is derived from the constant drone the weapon emits when held by a psyker. When thrown the spear hits the enemy and automatically returns to the thrower's hands","E-AA 5"
"Witch Blade","Witch Blade","One-Handed","3+StrB","--","--",1,"1,000,000","Exotic","Aeldari","Witch Blades are psychically attuned weapons that Eldar walking the Path of the Seer often carries to battle. These blades resonate with their users, enhancing their strength to terrifying levels; Farseers have been known to slash through the heaviest of power armor or cleave battle tanks clean in half with devastating blows from these weapons. When wielded by an Aeldari Seer, they gain the Penetrating (5) trait.","E-AA 5"
"Witch Staff","Witch Staff","Two-Handed","2+StrB","--","--",2,500,"Exotic","Aeldari, Defensive, Two-Handed","Witch Blades are psychically attuned weapons that Eldar walking the Path of the Seer often carries to battle. These blades resonate with their users, enhancing their strength to terrifying levels; Farseers have been known to slash through the heaviest of power armor or cleave battle tanks clean in half with devastating blows from these weapons. When wielded by an Aeldari Seer, they gain the Penetrating (5) trait.","E-AA 5"
"Aeldari Hallucinogen Grenade 'Moxy Pattern'","Aeldari Hallucinogen Grenade 'Moxy Pattern'","Thrown, Ordnance","--","--","--",0,5,"Exotic","Aeldari, Blast, Inflict (Stunned), Loud, Thrown (Medium), Unstable",,"E-AA 6"
"Aeldari Haywire Grenade","Aeldari Haywire Grenade","Thrown, Ordnance","--","--","--",0,8,"Exotic","Aeldari, Blast, Haywire (5), Loud, Thrown (Medium), Unstable",,"E-AI 27"
"Aeldari Plasma Grenade","Aeldari Plasma Grenade","Thrown, Ordnance",8,"--","--",0,10,"Exotic","Aeldari, Blast, Inflict (Blinded), Loud, Thrown (Medium), Unstable",,"E-AA 6"
"Starmswarm","Starmswarm","Ordnance",10,"--","--",0,1,"Exotic","Aeldari, Blast, Loud, Penetrating (4), Unstable","Starswarm and Starshot rounds are only capable of being fired by Reaper and Tempest Launchers, with Starswarm rounds being used for anti-infantry duties and Starshot being used for anti-tank","E-AA 6"
"Starshot","Starshot","Ordnance",16,"--","--",0,10,"Exotic","Aeldari, Loud, Penetrating (10), Spread, Unstable","Starswarm and Starshot rounds are only capable of being fired by Reaper and Tempest Launchers, with Starswarm rounds being used for anti-infantry duties and Starshot being used for anti-tank","E-AA 6"
"Splinter Rifle 'Moxy Pattern'","Splinter Rifle 'Moxy Pattern'","Long Guns",4,"Long",4,2,"10,000 (550)","Exotic","Drukhari, Inflict (Poisoned), Penetrating (3), Two-Handed",,"E-AD 2"
"Splinter Pistol 'Moxy Pattern'","Splinter Pistol 'Moxy Pattern'","Pistols",4,"Medium",4,1,"8,000 (450)","Exotic","Drukhari, Close, Inflict (Poisoned), Penetrating (3)",,"E-AD 2"
"Splinter Pod","Splinter Pod","Long Guns",4,"Long",6,2,"10,000 (550)","Exotic","Drukhari, Burst, Inflict (Poisoned), Penetrating (3)",,"E-AD 2"
"Shardcarbine","Shardcarbine","Long Guns",4,"Long",6,2,"12,000 (660)","Exotic","Drukhari, Inflict (Poisoned), Penetrating (3), Rapid Fire (2), Two-Handed",,"E-AD 3"
"Splinter Cannon","Splinter Cannon","Ordnance",6,"Extreme",6,3,"14,000 (780)","Exotic","Drukhari, Inflict (Poisoned), Penetrating (4), Rapid Fire (3), Two-Handed",,"E-AD 3"
"Blast Pistol","Blast Pistol","Pistols",16,"Medium",4,1,"18,000 (1,000)","Exotic","Drukhari, Burst, Close, Rend (5), Two-Handed",,"E-AD 3"
"Blaster","Blaster","Long Guns",16,"Long",6,2,"18,000 (1,000)","Exotic","Drukhari, Rapid Fire (2), Rend (5), Two-Handed",,"E-AD 3"
"Dark Lance","Dark Lance","Ordnance",16,"Long",6,3,"20,000 (1,100)","Exotic","Drukhari, Heavy (4), Loud, Rend (5), Two-Handed",,"E-AD 3"
"Shredder","Shredder","Long Guns",8,"Long",6,2,"22,000 (1,200)","Exotic","Drukhari, Burst, Inflict (Restrained), Two-Handed",,"E-AD 3"
"Haywire Blaster","Haywire Blaster","Long Guns",6,"Long",4,2,"18,000 (1,000)","Exotic","Drukhari, Burst, Haywire (3), Two-Handed",,"E-AD 3"
"Heat Lance","Heat Lance","Long Guns",16,"Medium",6,3,"22,000 (1,200)","Exotic","Drukhari, Penetrating (4), Two-Handed",,"E-AD 3"
"Destructor","Destructor","Ordnance",12,"Medium",4,3,"1,000,000 (10,000)","Exotic","Drukhari, Inflict (Poisoned), Loud, Penetrating (5), Rapid Fire (2)",,"E-AD 3"
"Liquifier Gun","Liquifier Gun","Long Guns",6,"Long",4,2,"10,000 (1,000)","Exotic","Drukhari, Burst, Loud, Penetrating (3)",,"E-AD 3"
"Ossefactor","Ossefactor","Ordnance",8,"Medium",4,2,"50,000 (5,000)","Exotic","Drukhari, Burst, Loud, Inflict (Restrained)",,"E-AD 3"
"Stinger Pistol","Stinger Pistol","Pistols",4,"Medium",4,1,"2,000,000 (20,000)","Exotic","Drukhari, Inflict (Poisoned), Loud, Penetrating (6)",,"E-AD 3"
"Agonizer","Agonizer","One-Handed","2+StrB","--","--",1,5,"Exotic","Drukhari, Loud, Reach, Inflict (Stunned)","Agonizers are Dark Eldar weapons which come in many forms, such as whips or gauntlets, but they are designed to attach themselves to the victim's nervous system, take control of it, and inflict immense pain which can disable or kill the victim. The size of the creature can matter - the larger the creature, the greater the potential for pain infliction. Agonizers have the ability to harm vehicles as well, potentially disabling the crew or disrupting the vehicle's systems","E-AD 4"
"Demiklaives","Demiklaives","One-Handed","4+StrB","--","--",1,10,"Exotic","Drukhari, Penetrating (5)","Demiklaves are small Dark Eldar melee weapons. Some Incubi sects prefer demiklaives over the Klaive. Demiklaives are two power swords which can be wielded as two close combat swords or as one mighty weapon. Changing from one weapon into two is so easy for Klaivex that they can do it in the midst of battle.","E-AD 4"
"Djin Blade","Djin Blade","One-Handed","4+StrB","--","--",1,"1,000,000","Exotic","Drukhari, Penetrating (4)","Djin Blades are Dark Eldar weapons usually taking the form of polished crystal with a scowling bestial face upon its hilt. Each djin blade has a bloodthirsty sentience of its own and sometimes may even harm the wielder of the blade. Only archons are known to possess these strange, evil blades.","E-AD 4"
"Electrocorrosive Whip","Electrocorrosive Whip","One-Handed","0+StrB","--","--",1,6,"Exotic","Drukhari, Loud, Reach, Inflict (Poisoned, Stunned)","Electrocorrosive Whips are Dark Eldar weapons used by archons, Haemonculi, and wych leaders. They are similar to agonisers, though not as lethal. These venom-soaked whips steal the fighting will of enemies by causing pain of extreme kind.","E-AD 4"
"Husk Blade","Husk Blade","One-Handed","4+StrB","--","--",1,10,"Exotic","Drukhari, Penetrating (4), Inflict (Restrained)","Perhaps the most lethal weapon used by Dark Eldar archons, Husk Blades evaporate the moisture from everything they touch leaving only dust-like figures if used against living beings. Even the toughest foes have been struck down by these blades.","E-AD 4"
"Klaive","Klaive","One-Handed","5+StrB","--","--",1,100,"Exotic","Drukhari, Penetrating (6)","The klaive is a Dark Eldar weapon favored by elite Incubi over any other. Every klaive is a masterpiece of a weapon. They are perfectly balanced, and despite their size are surprisingly light. As power weapons, they crackle with dark energy and can even cleave through Space Marine power armour.","E-AD 4"
"Punisher","Punisher","Two-Handed","6+StrB","--","--",3,"1,000,000","Exotic","Drukhari, Heavy (4), Penetrating (8)","The Punisher is a type of close combat weapon used by Dark Eldar Incubi. They are large and unwieldy but incorporate a shock field generator which is beyond the ability of the Imperium to replicate. They are often easily alterable to suit the user with an extendable shaft and a monomolecular blade attached to deliver the shock.","E-AD 4"
"Archite Glaive","Archite Glaive","Two-Handed","4+StrB","--","--",2,7,"Exotic","Drukhari, Heavy (4), Penetrating (5), Two-Handed","Archite Glaives are exquisitely crafted polearms, used by Dark Eldar Wych Cults. When wielded by skilled users, the Archite Glaives are easily capable of bisecting armoured opponents","E-AD 4"
"Flesh Gauntlet","Flesh Gauntlet","Brawling","3+StrB","--","--",1,5,"Exotic","Drukhari, Inflict (Poisoned, Stunned)","A Flesh Gauntlet is a truly nightmarish weapon, used by Dark Eldar Haemonculi, Wracks and Grotesques. It is a claw-like glove with syringe-like protrusions and vials. Even a small touch on an enemy will inject the victim with the most violent electro-steroids (some sort of universal growth hormone), which will eventually cause the victim to grow out of his or her skin. In the end there is only an undefined pile of heaving matter.","E-AD 4"
"Glimmersteel Blades 'Moxy Pattern'","Glimmersteel Blades 'Moxy Pattern'","One-Handed","2+StrB","--","--",1,8,"Exotic","Drukhari","Glimmersteel Blades are the primary weapon of Dark Eldar Mandrakes. These blood-encrusted weapons are reminiscent of the surgical tools of the Haemonculi. Many resemble large blades while others are handheld sickles.","E-AD 5"
"Hellglaive","Hellglaive","Two-Handed","4+StrB","--","--",2,10,"Exotic","Drukhari, Defensive, Penetrating (3), Two-Handed","A Hellglaive is a weapon used by Dark Eldar Hellions. It is essentially a double-bladed close- combat weapon, with a built-in Splinter Rifle","E-AD 5"
"Hydra Gauntlet","Hydra Gauntlet","Brawling","3+StrB","--","--",1,5,"Exotic","Drukhari, Inflict (Poisoned)","Hydra Gauntlets are bizarre weapons used by Dark Eldar Wyches called Hydrae. These gauntlets are extremely strange weapons made from a flexible weave of semi-sentient, extraplanar crystals. They are smooth and glassy when inert, but i","E-AD 5"
"Impaler","Impaler","One-Handed","4+StrB","--","--",2,8,"Exotic","Drukhari, Penetrating (2)","The Impaler is a Dark Eldar weapon used by both Kabals and Wych Cults. It is a large monomolecular melee weapon resembling a Punisher. They are frequently used by Wyches in combination with a shardnet.","E-AD 5"
"Mindphase Gauntlet","Mindphase Gauntlet","Brawling","2+StrB","--","--",1,100,"Exotic","Drukhari, Inflict (Restrained, Stunned)","These high-tech gauntlets are used by Haemonculi and their minions such as wracks and grotesques. If an enemy (or anyone) is touched with these gauntlets, the victim's strength and will are sapped by neural controller gauntlets. Even monstrous Carnifexes can be stopped by these gauntlets, though against the most powerful foes it is not as reliable as against some humanoid beings.","E-AD 5"
"Razorfail","Razorfail","One-Handed","3+StrB","--","--",1,10,"Exotic","Drukhari, Penetrating (2), Reach","Razorflails are close combat weapons used by Dark Eldar Wych Cults. Consisting of a series of razorblades held together by a wire, a Razorflail is not only a sword but also can change instantly into a whip-like weapon. Because of this, they are almost impossible to block or parry. Wyches who specialize in these weapons are known as the Lacerai","E-AD 5"
