Talent,Category,Src,Prerequisites,Brief,Text,ID,Rules
Forensic Engineering,Knowledge,MalExp,Forensic Expert Talent,Grants the bonus of Forensic Expert to Tech(Engineering),"Relating to investigating the analysis of structures, typically relating to causes of failure or damage. This field grants bonuses to Tech (Engineering) tests as appropriate.",000078,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
Forensic Psykologis,Knowledge,MalExp,Forensic Expert Talent,Grants the bonus of Forensic Expert to Presence (Interrogation),"Relating to the study of the study of the mind, behavior, and criminal responsibility. Especially prized amongst the Inquisition. This field grants bonuses to Presence (Interrogation) tests as appropriate",000079,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
Foresight,Knowledge,MalExp,-,Spend 10min analyzing a problem: +1SL for next related intelligence based check,"By careful consideration of all the possible consequences and examination of all evidence and information, you can identify the best path for success. By spending ten minutes studying or analyzing a problem, you gain a +1SL bonus to your next Intelligence based test. ",000080,
Know the Enemy; Kill the Enemy,Knowledge,MalExp,1 Advance in Lore(Forbidden),"1/Encounter: choose enemy type, test appropriate Forbidden Lore -20 check. On success for SL turns: allies may re-roll one missed attack per turn against type","Once per encounter, you may use this talent and choose a type of enemy (Orks, Eldar, Heretics, or anyother that is deemed appropriate by your GM) and make a Hard (-20) Lore (Forbidden) Test specializing in that foe (i.e. Lore (Forbidden – Orks)) If successful, any ally within communication range may re-roll one missed attack per Round against the chosen enemy for a number of Rounds equal to the Success Levels on the test.",000081,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Forbidden"" && i.system.skill == ""lore"")?.system?.advances >= 1)"
Rumorsmith,Knowledge,MalExp,-,Advantage on Rapport(Inquiry) on local gossip,"You’re vigilant to local gossip, a bountiful source of both reliable and wildly inaccurate intelligence. You gain Advantage on Rapport (Inquiry) Tests to hear the word on the street. ",000082,
Total Recall,Knowledge,MalExp,-,"Automatically remember trivial facts, complex/difficult facts may require Intelligence test. Combines well with Eidetic Memory","You automatically remember trivial facts or pieces of information you may have feasibly picked up in the past. When dealing with more detailed, complex, or obscure facts, such as the exact layout of a defense network, the GM may require you to make a successful Intelligence Test to recall the information. Together with Eidetic Memory, your character can be considered to have “perfect memory.“ ",000083,
Unparalleled Proficiency,Knowledge,MalExp,1 Advance in 3 separate Lore Specializations,+IntB/2 SL (unaugmented) to any successful Lore/Linguistic test,You add half your unaugmented Intelligence Bonus (rounding up) to the Success Levels of any successful Lore or Linguistics Test.,000084,""
Annihilate Them!,Leadership,MalExp,"2 Advances in Melee, 2 Advances in Presence(Leadership), Inspiring Presence Talent","Once/Encounter: test Presence-30 (+5 for each participating ally). On success: allies charge as a joint, out-of-order action","Once per encounter as an action, make a Very Hard (-30) Presence (Leadership) Test with a +5 Bonus for each ally participating in this action. If you succeed, your allies rush forward with you in a joint Charge Action. The allies that were part of this charge can take their turn normally on their subsequent turn, but do not gain the benefits of Charging and are likely starting their turn in melee.  ",000085,"return this.actor.system.skills.melee.advances >= 2 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Leadership"" && i.system.skill == ""presence"")?.system?.advances >= 2) && this.actor.itemTypes[""talent""].find(i => i.name == ""Inspiring Presence"")"
Final Judgement,Leadership,MalExp,"2 Advances in Discipline, Deadeye Talent","Once/Encounter, after a Ranged kill: spend FP, test Presence. On success:allies within medium range gain 5xSL bonus to next BS/WS attack. Enemies within Medium range take the same amount as a penalty","Once per encounter, after killing a target with a Ranged Attack, you may spend a Fate point and make a Challenging (+0) Presence (Leadership) Test. If you succeed, all allies within Medium Range gain a bonus equal to 5 times the Success Levels to the next Ballistic Skill or Weapons Skill test they make before the end of the encounter, and each foe within Medium Range suffers a penalty equal to 5 times the Success Levels to their next Ballistic Skill or Weapons Skill Test they make before the end of the encounter. ",000086,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Deadeye"")"
Inspire Wrath,Leadership,MalExp,Air of Authority Talent,Action: test Charm/Deception/Leadership/Intimidation to grant allies in Medium rangethe Hatred talent. Can be opposed by Discipline(Composure),"As an Action, you can make a Rapport (Charm), Rapport (Deception), Presence (Leadership), or Presence (Intimidation) Test to grant the effects of the Hatred Talent to any allies within Medium Range. Success on the Test grants the Hatred Talent, with the object of their Hatred being chosen by you for the duration of the encounter. Listeners can resist the effects of your speech (and therefore not gain hatred) by passing an Opposed Discipline (Composure) Test against whichever test you make. Both you and the GM should bear in mind, however, once a crowd is inspired to hatred or mindless anger, the effects can be unpredictable.",000087,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Air of Authority"")"
Into the Jaws of Hell,Leadership,MalExp,Inspiring Presence Talent,Followers (not players) are immune to Frightening&Pinning while you lead by example,"Your followers become immune to the effects of the Frightening Talent and being pinned as long as you are physically there to lead them, and they can see you leading by example. Other player characters cannot benefit from this talent",000088,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Inspiring Presence"")"
Angel of Mercy,Medicae,MalExp,2 Advances in Medicae,+1SL to determine healed wounds. May split number of healed wounds between multiple characters,"You are unyielding in rendering medical assistance to as many as you can, never resting when there is work to be done. Add +1SL to your Medicae Tests when determining how many wounds you can heal.Additionally, you may split the number of wounds you heal between multiple characters",000089,return this.actor.system.skills.medicae.advances >= 2
Don't you Die on me!,Medicae,MalExp,"Master Chirurgeon Talent, Methodical Care Talent","Revive ally dying from Blood Loss up to IntB rounds after ""death"" by spending a FP and succeed at Medicae-30 test","Whenever an ally dies from Blood Loss, you have a chance to bring back the fallen comrade from the brink for a number of rounds equal to your Intelligence Bonus. During this time, if you are close enough to treat your “dead” ally, you may spend a Fate Point and make a Very Hard (-30) Medicae Test in an attempt to revive them. This test requires an action, and you must spend a Fate Point each time you wish to attempt it. If you succeed on one of these tests within a number of rounds equal to your Intelligence Bonus, you manage to bring back the fallen ally from the edge. This does not in any way reverse any other consequences of the injury that “killed” the character, such as lost limbs.",000090,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Master Chirurgeon"") && this.actor.itemTypes[""talent""].find(i => i.name == ""Methodical Care"")"
Enhanced Healing,Medicae,MalExp,1 Advance in Medicae,Restore an additional d5 wounds with Medicae tests,"Each time you restore wounds on a Medicae Test, you restore an additional 1d5 wounds.",000091,return this.actor.system.skills.medicae.advances >= 1
First Response,Medicae,MalExp,2 Advances in Medicae,Once/Encounter: make Medicae check to heal as a free action,"You have an unerring knack for being in the right place at the right time when someone needs patching up. Once per encounter, you can make a Medicae test to heal wounds as a Free Action.",000092,return this.actor.system.skills.medicae.advances >= 2
Master Chirurgeon,Medicae,MalExp,"3 Advances in Medicae, Superior Chirurgeon Talent ",+2SL on all Medicae checks (replacing bonus of Superior Chirurgen). Restore double the critical wounds on success,"You gain a +2SL Bonus on all Medicae Tests (this is not cumulative with the bonus from Superior Chirurgeon, it replaces it). If treating a Critically Wounded patient, a successful Test heals twice the amount of Wounds. ",000093,"return this.actor.system.skills.medicae.advances >= 3 && this.actor.itemTypes[""talent""].find(i => i.name == ""Superior Chirurgeon"")"
Methodical Care,Medicae,MalExp,"2 Advances in Medicae, Swift Suture Talent ",Heal all wounds of a target out-of-combat with an extended Medicae check,"When you would like to heal wounds outside of combat, you may choose to turn it into an Extended Medicae Test to heal all the patient’s wounds overtime, with an appropriate amount of SLs required as dictated by the GM. If the test is done successfully with no failures, an appropriate Injury as selected by the GM will also be healed automatically. ",000094,"return this.actor.system.skills.medicae.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Swift Suture"")"
Superior Chirurgeon,Medicae,MalExp,1 Advance in Medicae,"+1SL on all Medicae checks, first aid in combat is done at +10","You gain a +1SL Bonus on all Medicae Skill Tests. When providing first aid during combat, the test is Ordinary (+10) instead of Challenging",000095,return this.actor.system.skills.medicae.advances >= 1
Swift Suture,Medicae,MalExp,1 Advance in Medicae,End Bleeding (Minor) condition when succeeding a Medicae test on a patient,"Whenever you succeed on a Medicae Test, you also end the Bleeding (Minor) Condition if your patient has it.",000096,return this.actor.system.skills.medicae.advances >= 1
Aspire to Vengeance,Melee,MalExp,2 Advances in Melee,After ally dies within Medium range: +3 Critical Wounds inflicted in melee (until end of combat),"Whenever a Player Character, Follower, or Ally within Medium Range is slain by an enemy, you enter a hateful fury. Until the end of the encounter, you increase any Critical Damage that you inflict in melee from Critical Hits by +3.",000097,return this.actor.system.skills.melee.advances >= 2
Bladedancer,Melee,MalExp,Dual Wielder Talent,+1 SL to both attacks made while two-weapon fighting with two melee weapons,"You have brought your ability to wield two melee weapons at once to an exceptional level of skill. When armed with two one-handed melee weapons, you gain +1SL to both attacks you made as part of two-weapon fighting. ",000098,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Dual Wielder"")"
Blademaster,Melee,MalExp,4 Advances in Melee,Re-Roll one WS based check per round,You can re-roll one Weapons Skill-based test per round.,000099,return this.actor.system.skills.melee.advances >= 4
Blind Fighting,Melee,MalExp,-,Ignore all vision obscured penalties for fighting in meele. Does not remove penalty from being Blinded,"Years of practice and development of your other senses allow you to fight in close combat without the benefit of your sight. You ignore all penalties for fighting with a melee weapon while suffering from obscured vision, allowing yourself to fight in fog, smoke, or darkness more effectively. ",000100,
Combat Flair,Melee,MalExp,"Blademaster Talent, 2 Advances in Rapport(Charm)","Free action: Rapport(Charm) vs Discipline(Composure) against Engaged foe. On success: target takes -10WS, +1SL for every SL","You may make an Opposed Challenging (+0) Rapport (Charm) versus the enemies Discipline (Composure) as an in-turn Free Action against any Engaged foes each round. Should you win, you impose a -10 penalty to your enemies Weapons Skill, increased by 5 for every +SL. ",000101,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Charm"" && i.system.skill == ""rapport"")?.system?.advances >= 2) && this.actor.itemTypes[""talent""].find(i => i.name == ""Blademaster"")"
Creative Killer,Melee,MalExp,Street Fighting Talent,Choose an appropriate Low-Tech melee weapon profile for improvised weapon,"When you attack with an Improvised Weapon (CRB pg. 128), you may count its profile as being an appropriate Low-Tech melee weapon instead. ",000102,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Street Fighting"")"
Dedicate the Kill,Melee,MalExp,Faithful (X) Talent,Spent Movement action to nominate target in LoS. Personally killing the target recovers 1 FP,"You are a devout believer that only offerings of flesh and blood can appease your God. During an encounter, you may sacrifice your movement for the turn to nominate an Elite or Leader level enemy in line of sight as your target. You may nominate a new target by sacrificing your movement again, but this replaces the previous target. If you personally kill your target in melee combat, you regain 1 spent Fate Point. ",000103,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Faithful(X)"")"
Demoralizing Decapitation,Melee,MalExp,2 Advances in Melee and Presence(Intimidation),"Once/Encounter, killing Elite/Leader in melee: force enemies within Long Range to Discipline(Fear)-20. On Fail: Frightened and -1SL on all tests","Once per encounter when you kill an Elite or Leader level enemy in melee combat, you may force all enemies within Long Range to make a Hard (-20) Discipline (Fear) Test. Any enemy who fails this test counts as being Frightened and suffers a -1SL penalty on all tests until the end of combat.",000104,return this.actor.system.skills.melee.advances >= 2
Disruptive Launch,Melee,MalExp,-,"With Jump Pack, Action: make melee attack and inflict Restrained","You employ short bursts of your jump pack as suppressive fire, protecting you from retaliatory assaults. When equipped with a Jump Pack, you can spend an action to make a Melee Attack and inflict the Restrained Condition on an enemy you’re engaged with.",000105,
Double Team,Melee,MalExp,-,"When outnumbering: +1SL on melee. If your outnumbering ally als has Double Team, get another 1SL","You have experience fighting in paired teams that work together to take down their enemies. When outnumbering an opponent, you gain +1SL on Melee Tests. If both you and your ally that outnumber the enemy have this Talent, then you gain another +1SL for a total of +2SL. This bonus is in addition to the normal bonus from outnumbering on an opponent (CRB pg. 214) . ",000106,
Hunt the Alien,Melee,MalExp,Hatred (Xenos) Talent or 1 Advance in Lore(Forbidden – Xenos),+10 WS and +2 damage in melee vs Aliens,You gain a +10 to your Weapons Skill and deal +2 Damage in melee when fighting aliens,000107,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Forbidden – Xenos"" && i.system.skill == ""lore"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Hatred(Xenos)"")"
One-on-One,Melee,MalExp,Duelist Talent,On single melee combat: +WS-B / 2 SL on all melee tests,"You are a master of single combat. Without distractions from multiple opponents, you fight at your best, taking every opening and leaving none. When fighting a single enemy in melee combat, you score extra Success Levels on Melee tests equal to half your Weapons Skill bonus (rounded down).",000108,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Duelist"")"
Preternatural Speed,Melee,MalExp,"2 Advances in Melee, 2 Advances in Athletics(Running) ",Charge (up to) an additional zone further than normal.,"When making a Charge Action, you may move an additional zone than usual.",000109,"return this.actor.system.skills.melee.advances >= 2 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Running"" && i.system.skill == ""athletics"")?.system?.advances >= 2)"
Slayer of Demons,Melee,MalExp,Hatred (Daemons) Talent or 1 Advance in Lore(Forbidden – Daemonology) ,+10 WS and +2 damage when melee fighting daemons,"Vowing to battle the beasts from the beyond, you have marked the warp-spawned for death. You gain a +10 to your Weapons Skill and deal +2 Damage in melee when fighting Daemons.",000110,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Forbidden – Daemonology"" && i.system.skill == ""lore"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Hatred(Daemons)"")"
Street Fighting,Melee,MalExp,1 Advance in Melee,+WsB/2 critical damage when fighting with knifes or bare handed,"When armed with a knife (powered, chain, throwing, or otherwise) or a similarly small weapon, or just your bare hands, you add half your Weapons Skill bonus to any Critical Damage you inflict.",000111,return this.actor.system.skills.melee.advances >= 1
Unarmed Master,Melee,MalExp,"3 Advances in Melee(Brawling), 2 Advance in Reflexes, Unarmed Warrior Talent","Unarmed weapon profile is: 2+StB, Penetrating(1)",Your unarmed Melee attacks deal 2 + StrB Damage with the Penetrating (1) Trait.,000112,"return this.actor.system.skills.reflexes.advances >= 2 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Brawling"" && i.system.skill == ""melee"")?.system?.advances >= 3) && this.actor.itemTypes[""talent""].find(i => i.name == ""Unarmed Warrior"")"
Unarmed Warrior,Melee,MalExp,"2 Advance in Melee(Brawling), 1 Advance in Reflexes",Unarmed weapon profile is 1+StB. Increase any One-Handed or Brawling weapon to at least 1+StB damage,"Your unarmed Melee attacks deal 1 + StrB Damage instead of just StrB. If you are using a subtle Brawling or One-Handed weapon that would deal 1+StrB Damage or less, increase its damage by 1 (i.e.  knives are now 1 + StrB)",000113,"return this.actor.system.skills.reflexes.advances >= 1 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Brawling"" && i.system.skill == ""melee"")?.system?.advances >= 2)"
Accustomed to Crowds,Movement,MalExp,-,"Free action Awareness check to prevent Reaction attack from engaged enemy upon leaving, Crowds are not difficult terrain","You do not consider packed crowds to be Difficult Terrain. Additionally, when you attempt to leave while Engaged without performing the Disengage Action, you may make perform an Awareness Test as a free Action to prevent enemies from attacking you as a Reaction.",000114,
Bloodhound,Movement,MalExp,-,"Once/mission: nominate a single target as prey, you have Advantage on Navigation (Tracking) on this target","Once you have the scent of a target, nothing short of their death or yours can end your pursuit. Nominate a single creature or individual as the target of this talent – you cannot switch targets until the next mission. You gain Advantage on Navigation (Tracking) tests made to track this target.",000115,
Cat Fall,Movement,MalExp,1 Advance in Reflexes(Acrobatics),Add AgiB to the distance you can savely fall before taking damage. +20 to checks to jump,"When calculating how far you must fall to take damage, you add a number of meters equal to your Agility Bonus, ignoring this distance as if it did not exist. You also gain a +20 Bonus to Athletics Tests to Jump (pg. 203)",000116,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Acrobatics"" && i.system.skill == ""reflexes"")?.system?.advances >= 1)"
Coward's Grace,Movement,MalExp,-,While running away: Speed increase by one step,"When running away from combat (including fleeing from melee, being Frightened, or Retreating), count your speed as one higher than it normally is (Normal speed becomes Fast). Additionally, you may not purchase Advancements to Willpower or Discipline without losing this talent. This talent does not stack with the speed boost from Adrenaline Acceleration.",000117,
Enviable Grace,Movement,MalExp,"2 Advances in Reflexes(Acrobatics), Contortionist Talent","Ignore difficult terrain and Restrained (Minor), may fit in impassable spaces","You are a dexterous contortionist, twirling around restrictions to navigate your environment with enviable grace. Difficult Terrain does not reduce your Speed and you are immune to the Restrained (Minor) Condition. At the GM’s discretion, you may be able to insert yourself into otherwise impassable spaces.",000118,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Acrobatics"" && i.system.skill == ""reflexes"")?.system?.advances >= 2) && this.actor.itemTypes[""talent""].find(i => i.name == ""Contortionist"")"
Surefoot Wayfinder,Movement,MalExp,2 Advances in Navigation(Surface),Ignore movement penalty of (most) difficult terrain. Once/session: reroll failed Navigation(Tracking) test,"You ignore penalties to your movement from Difficult Terrain, although particularly dangerous environments such as burning buildings stil penalize you at the GMs discretion. You may also re-roll one failed Navigation (Tracking) Test per session.",000119,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Surface"" && i.system.skill == ""navigation"")?.system?.advances >= 2)"
Ace Operator,Piloting,MalExp,2 Advances in Piloting or Athletics(Riding),On Failed Piloting/Riding: spend FP to reduce failure by AgiB (or IntB for Voidship piloting). May turn the failure into a Success.,"Whenever you fail a Piloting or Athletics (Riding) Test, you may spend a Fate Point to reduce your Degrees of Failure on the test by your Agility Bonus. When using Piloting (Minor/Major Voidship), you  reduce them according to your Intelligence instead.",000120,return this.actor.system.skills.piloting.advances >= 2
Best of the Best,Piloting,MalExp,Talented (Piloting (Any)) or Talented (Athletics (Riding)) Talent,Automatically win ties in opposed Piloting/Riding checks,"Whenever you make an Opposed Piloting or Athletics (Riding) Test, if you and your opponent have the same number of Success Levels, you count as winning the Test (in essence, you automatically win ties).",000121,"return this.actor.itemTypes[""talent""].find(i => i.name == ""or"")"
Drop Trooper,Piloting,MalExp,1 Advance in Piloting(Aeronautica),Using Grav-Chute: may reroll Reflexes(Dodge) test. May push extended use time of Chutes to 20 minutes,"When descending with a Grav Chute, the character may reroll Reflexes (Dodge) tests to avoid being hit. Additionally, the character is more used to pushing their equipment to the limit and can extend the use of the Grav Chute to last for 20 minutes with careful operation.",000122,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Aeronautica"" && i.system.skill == ""piloting"")?.system?.advances >= 1)"
Hotspot Pilot,Piloting,MalExp,2 Advances in Piloting or Athletics(Riding),On Failed Piloting/Riding: may suffer Fatigued to reduce failed SL by AgiB/2 (min -1). On success: may suffer Fatigued(Minor) to add AgiB/2 SL on top,"When you succeed on a Piloting or Athletics (Riding) Test, you may suffer the Fatigued (Minor) Condition to add a number of Success Levels equal to half your Agility Bonus. When you fail a Piloting or  athletics (Riding) Test, you may voluntarily suffer the Fatigued Condition to reduce the failed SLs by an amount equal to half your Agility Bonus to a minimum of -1.",000123,return this.actor.system.skills.piloting.advances >= 2
Mounted Warrior,Piloting,MalExp,2 Advances in Piloting or Athletics(Riding),On attack from moving vehicle/mount: base attack difficulty cannot be worse than -10. This does not reduce penalties from other circumstances,"Whenever you make an attack from a moving vehicle of mount, you count the difficulty as being at Difficult (-10) or less even if the Action describes the base difficulty as being worse. This applies to both ordinary attack actions and special vehicle and mount combat actions. This does not remove penalties from environmental conditions such as smoke, darkness, etc. ",000124,return this.actor.system.skills.piloting.advances >= 2
Push the Limit,Piloting,MalExp,2 Advances in Piloting or Athletics(Riding),"1/round: may add +2SL to Piloting or Riding test. If test fails or getting a nat 100, roll d5 on the Crit Table","Once per round, you may add +2SL to a Piloting or Athletics (Riding) Test, however, if you fail the test or roll an unmodified 100, immediately roll 1d5 on the Vehicle Critical Hit Table or the Legs Critical Hit Table in the case of a living mount and apply the result. ",000125,return this.actor.system.skills.piloting.advances >= 2
Skilled Rider,Piloting,MalExp,1 Advance in Piloting or Athletics(Riding),"On thrown off vehicle/mount: Check Agility+10, on success remain seated or land savely on your feet@ground. May test Reflexes(Dodge)+10 to avoid taking damage from ciritcal hits on mount/vehicle","Whenever you would be thrown from your vehicle or mount, you may make an Ordinary (+10) Agility Test. If you succeed, you land safely on your feet or retain your position in the vehicle/mount.  If you would be subject to damage from any other effects from a vehicle or mount suffering Critical Damage, you may make an Ordinary (+10) Reflexes (Dodge) Test to avoid the consequences of it before any other tests to avoid it. ",000126,return this.actor.system.skills.piloting.advances >= 1
Bombardier,Ranged,MalExp,2 Advances in Ranged(Ordnance),Advantage to fire Launcher/Artillery weapons at obscured zone or a zone outside LoS,"Due to many years of training, you are an expert with explosive weapons and have uncanny control over where projectiles land. When firing a Launcher or Artillery Weapon at a partially obscured zone or a zone with no line of sight, you have Advantage. ",000127,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Ordnance"" && i.system.skill == ""ranged"")?.system?.advances >= 2)"
Bullet Hell,Ranged,MalExp,2 Advances in Ranged,1/combat when using Rapid Fire: increase RF rating by BS-B (without spending more ammo),"You discharge a hailstorm of lead from your shooter, spent casings puddling around your feet. Once per encounter, when using a weapon with the Rapid Fire (X) Trait, increase the rating by your Ballistic Skill Bonus without increasing the amount of ammunition consumed.",000128,return this.actor.system.skills.ranged.advances >= 2
Calculated Barrage,Ranged,MalExp,1 Advance in Ranged(Ordnance),On fire Ordnance weapon:any enemy within short range of a hit must test Discipline (Fear) or suffer Restrained,"You are exceptionally good at conceptualizing the battlefield and picking just the right place to drop massed amounts of explosives to maximum effect – not just on enemies, but their morale. Whenever you fire an Ordnance Artillery weapon, if at least one hit lands within Short Range of an enemy, that target must make a Challenging (+0) Discipline (Fear) Test or suffer the Restrained Condition until your next turn. ",000129,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Ordnance"" && i.system.skill == ""ranged"")?.system?.advances >= 1)"
Close-Quarter Killer,Ranged,MalExp,-,+1 SL to attack enemy with a Ranged weapon with Close trait at Immediate range,You gain an additional +1SL when attacking an enemy within Immediate Range with a weapon with the Close Trait.,000130,
Eye of Vengeance,Ranged,MalExp,3 Advances in Ranged,May spend FP to add BS-B to both damage and Penetration (if weapon has it),"Before making a Ranged Attack, you can spend a Fate Point. If you do so, you add your Ballistic Skill Bonus to both your Damage and your Penetrating Trait if your weapon has it. ",000131,return this.actor.system.skills.ranged.advances >= 3
Hail of Fire,Ranged,MalExp,Suppressing Fire Talent,On Suppressive Fire: using Burst/Rapid Fire next turn will also count as using Suppressive Fire against the targets again,"If you use the Suppressing Fire Talent against an enemy, then these enemies will also be affected by further Burst or Rapid Fire attacks as if they are being affected by the Suppressing Fire Talent simultaneously until your next turn. ",000132,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Suppressing Fire"")"
Hunter's Instinct,Ranged,MalExp,1 Advance in Ranged,Ranged attacks against enemies out of Cover: +1 damage,"Far too frequently, Imperial Forces find themselves facing off against brutishly large enemies, or targets so huge and tough that the idea of taking cover is laughable. In such cases, a calm eye for weak points can do surprising damage. Your ranged attacks against enemies not in cover deal 1 extra damage.",000133,return this.actor.system.skills.ranged.advances >= 1
Lasgun Barrage,Ranged,MalExp,2 Advances in Ranged,On Burst/Rapid Fire with las weapon: +1SL on success if you do not move,"Through years of practice drills and battlefield experience, you have become a master of the lasgun. When fire any class on Las Weapons on Burst or Rapid Fire, you may score +1SL (provided the test is successful) if you do not move in your turn. ",000134,return this.actor.system.skills.ranged.advances >= 2
Professional Marksman,Ranged,MalExp,Sharpshooter Talent,On target hit Location: take no penalty,"When you Target Location (pg. 210), you make such a test at no additional penalty instead of Disadvantage or the -20 Penalty from Sharpshooter.",000135,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Sharpshooter"")"
Ranging Fire,Ranged,MalExp,2 Advances in Ranged(Ordnance),On successful hit with Ordnance artillery: allies withint Medium range may reroll Ranged attacks agains the target until end of your next turn,"Any good Imperial artilleryman knows that they are not operating in a vacuum, as spotters feed information to you, you field detailed targeting information back to ensure accurate fire. When you make a successful attack against an enemy with an Ordnance Artillery weapon, all allies within Medium Range may reroll missed ranged attacks against the same target until the end of your next turn. ",000136,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Ordnance"" && i.system.skill == ""ranged"")?.system?.advances >= 2)"
Sharpshooter,Ranged,MalExp,Deadeye Talent,On target hit Location: take -20 penalty (instead Disadvantage),"When you Target Location (pg. 210), you suffer a -20 Penalty instead of Disadvantage on the test. ",000137,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Deadeye"")"
Storm of Iron,Ranged,MalExp,3 Advances in Ranged,When dealing damage with Rapid Fire: Spread targets all creatured within Short Range of the target,"When facing a mass of enemies, you lay down a storm of firepower that even the most foolhardy cannot push through. When you deal damage to a target with a Rapid Fire attack with Spread, you target all creatures within Short Range of the target rather than Immediate Range. ",000138,return this.actor.system.skills.ranged.advances >= 3
Mighty Shot,Ranged,MalExp,4 Advances in Ranged,Add BS-B/2 damage to any Ranged damage,"You know the weak points in every type of armor and material, and have the skill to ensure that your shots land exactly where they can do the most damage. You add half your Ballistic Skill bonus (rounded up) to damage you inflict with Ranged Weapons. ",000139,return this.actor.system.skills.ranged.advances >= 4
Tank Hunter,Ranged,MalExp,2 Advances in Ranged(Ordnance),Add BS-B to Penetrating trait against vehicles,"When you make a Ranged Attack against a vehicle with a weapon with the Penetrating quality, you add your Ballistic Skill Bonus to the Penetration value of the weapon. ",000140,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Ordnance"" && i.system.skill == ""ranged"")?.system?.advances >= 2)"
Unblinking Watcher,Ranged,MalExp,2 Advances in Awareness,Define a second trigger to your action on Overwatch,"When you take the Overwatch action, you may choose two triggers for it rather than one to execute the action.",000141,return this.actor.system.skills.awareness.advances >= 2
Ambassador Imperialism,Social,MalExp,"1 Advance in Rapport, 1 Advance in Lore",1/Encounter: reroll failed Social skill test with Xeno/Non-Imperials. Also reduce penalties of such interactions by 10,"When you are making a Social Skill test when dealing with Xenos or other non-Imperial NPCs, reduce any penalty by 10. In addition, you may reroll a single failed Social Skill test per encounter when interacting with such an NPC.",000142,return this.actor.system.skills.rapport.advances >= 1 && this.actor.system.skills.lore.advances >= 1
Clues from the Crowds,Social,MalExp,1 Advance in Rapport(Inquiry),1/day: reroll test when gathering info from group of people,"Once per day, you can re-roll a test made to gather information from a group of people. ",000143,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Inquiry"" && i.system.skill == ""rapport"")?.system?.advances >= 1)"
Coordinated Interrogation,Social,MalExp,"Clues from the Crowd Talent, 1 Advance in Presence(Interrogation)",+1SL to all Presence(Interrogation). Additional +1SL for every 2 aiding characters with the same Talent. You gain effect of being Helped,"A trained interrogator, especially when working in conjunction with others, can induce cooperation from even the most hardened of suspect and heretics. You gain a +1SL bonus to all Presence (Interrogation) Tests, and an additional +1 SL for every two other characters participating in the interrogation who also have Coordinated Interrogation. You will also gain the effects of being Helped (IM CRB pg. 189). ",000144,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Interrogation"" && i.system.skill == ""presence"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Clues from the Crowd"")"
Ear to the Ground,Social,MalExp,1 Advance in Logic(Evaluation),"Advantage to Trade/Sell illicit goods, +1SL to avoid or deflect notice about this","You gain Advantage on tests related to Trading or Selling illicit goods. Furthermore, you learned to avoid the attention of the authorities, and gain +1SL on Rapport (Deception) Tests to avoid or deflect notice about these dealings.",000145,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Evaluation"" && i.system.skill == ""logic"")?.system?.advances >= 1)"
Eloquent,Social,MalExp,2 Advances in Rapport(Charm),+1SL to Rapport(Charm) & (Inquiry),You gain +1SL when making a Rapport (Charm) or Rapport (Inquiry) Test.,000146,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Charm"" && i.system.skill == ""rapport"")?.system?.advances >= 2)"
